run_id,seed,map_size,obstacle_ratio,task_num,method,total_path_length,total_inspection_time,high_priority_avg_response_time,completed_task_num,task_sequence,algorithm_runtime_ms
474,1418,30x30,0.2,30,NNF,190.0,466.6666666666667,86.66666666666666,30,P16 -> P26 -> P18 -> P30 -> P25 -> P7 -> P19 -> P4 -> P9 -> P23 -> P14 -> P1 -> P10 -> P5 -> P29 -> P6 -> P17 -> P12 -> P22 -> P2 -> P24 -> P21 -> P11 -> P28 -> P15 -> P27 -> P3 -> P20 -> P13 -> P8,53.768
475,1418,30x30,0.2,30,AStarOnly,178.0,446.6666666666667,147.66666666666669,30,P16 -> P30 -> P18 -> P26 -> P20 -> P3 -> P28 -> P15 -> P27 -> P11 -> P13 -> P25 -> P7 -> P19 -> P4 -> P9 -> P23 -> P14 -> P1 -> P10 -> P5 -> P29 -> P6 -> P17 -> P12 -> P22 -> P2 -> P24 -> P21 -> P8,57.184
476,1418,30x30,0.2,30,Proposed,340.0,716.6666666666667,78.0,30,P26 -> P25 -> P7 -> P30 -> P18 -> P3 -> P20 -> P29 -> P9 -> P14 -> P10 -> P23 -> P1 -> P22 -> P2 -> P24 -> P12 -> P21 -> P17 -> P6 -> P19 -> P4 -> P15 -> P11 -> P27 -> P28 -> P13 -> P16 -> P5 -> P8,57.305
477,1419,30x30,0.2,30,FS,581.0,1118.3333333333335,458.75,30,P1 -> P2 -> P3 -> P4 -> P5 -> P6 -> P7 -> P8 -> P9 -> P10 -> P11 -> P12 -> P13 -> P14 -> P15 -> P16 -> P17 -> P18 -> P19 -> P20 -> P21 -> P22 -> P23 -> P24 -> P25 -> P26 -> P27 -> P28 -> P29 -> P30,2.991
478,1419,30x30,0.2,30,NNF,189.0,465.00000000000006,247.29166666666669,30,P28 -> P27 -> P23 -> P26 -> P30 -> P8 -> P5 -> P18 -> P6 -> P10 -> P24 -> P1 -> P29 -> P3 -> P11 -> P13 -> P21 -> P15 -> P4 -> P14 -> P19 -> P22 -> P9 -> P7 -> P25 -> P20 -> P16 -> P17 -> P2 -> P12,51.245
479,1419,30x30,0.2,30,AStarOnly,201.0,484.99999999999994,276.875,30,P28 -> P27 -> P23 -> P26 -> P30 -> P8 -> P5 -> P18 -> P13 -> P21 -> P15 -> P4 -> P14 -> P19 -> P22 -> P9 -> P10 -> P6 -> P3 -> P29 -> P11 -> P7 -> P25 -> P1 -> P24 -> P20 -> P16 -> P17 -> P2 -> P12,52.889
480,1419,30x30,0.2,30,Proposed,396.0,809.9999999999999,258.125,30,P13 -> P7 -> P3 -> P17 -> P14 -> P19 -> P10 -> P24 -> P1 -> P18 -> P26 -> P23 -> P4 -> P12 -> P20 -> P25 -> P11 -> P29 -> P9 -> P22 -> P28 -> P15 -> P30 -> P2 -> P16 -> P8 -> P5 -> P6 -> P21 -> P27,44.53
481,1300,30x30,0.3,10,FS,246.0,460.0,0.0,10,P1 -> P2 -> P3 -> P4 -> P5 -> P6 -> P7 -> P8 -> P9 -> P10,1.25
482,1300,30x30,0.3,10,NNF,149.0,298.3333333333333,0.0,10,P2 -> P1 -> P5 -> P6 -> P9 -> P10 -> P7 -> P8 -> P4 -> P3,10.395
483,1300,30x30,0.3,10,AStarOnly,149.0,298.3333333333333,0.0,10,P2 -> P1 -> P5 -> P6 -> P9 -> P10 -> P7 -> P8 -> P4 -> P3,10.272
484,1300,30x30,0.3,10,Proposed,193.0,371.6666666666667,0.0,10,P5 -> P2 -> P10 -> P7 -> P6 -> P9 -> P1 -> P8 -> P4 -> P3,9.937
485,1301,30x30,0.3,10,FS,324.0,590.0000000000001,456.66666666666674,10,P1 -> P2 -> P3 -> P4 -> P5 -> P6 -> P7 -> P8 -> P9 -> P10,1.988
486,1301,30x30,0.3,10,NNF,126.0,260.0,140.0,10,P9 -> P5 -> P8 -> P2 -> P10 -> P4 -> P1 -> P6 -> P7 -> P3,9.738
487,1301,30x30,0.3,10,AStarOnly,126.0,260.0,140.0,10,P9 -> P5 -> P8 -> P2 -> P10 -> P4 -> P1 -> P6 -> P7 -> P3,9.807
488,1301,30x30,0.3,10,Proposed,153.0,305.00000000000006,95.55555555555559,10,P9 -> P10 -> P4 -> P1 -> P7 -> P6 -> P3 -> P5 -> P8 -> P2,8.905
489,1302,30x30,0.3,10,FS,207.0,395.00000000000006,219.0,10,P1 -> P2 -> P3 -> P4 -> P5 -> P6 -> P7 -> P8 -> P9 -> P10,1.026
490,1302,30x30,0.3,10,NNF,153.0,305.0,139.0,10,P5 -> P6 -> P9 -> P3 -> P8 -> P10 -> P7 -> P1 -> P4 -> P2,8.987
