seed,method,completed_task_num,total_path_length,total_inspection_time,high_priority_avg_response_time,priority_weighted_completion_time,high_priority_top5_rate,algorithm_runtime_ms,priority_response_efficiency,task_sequence
6,DRF-RH-BaseScoreOnly,20,438.0,830.0,232.33333333333334,275.0837083844814,60.0,93.09034503530711,0.136986301369863,P5->P18->P10->P20->P12->P2->P16->P13->P17->P15->P3->P8->P11->P9->P4->P19->P6->P7->P14->P1
6,DRF-RH-NoPathTimePenalty,20,318.0,630.0,118.33333333333334,162.06698177500954,60.0,90.66278301179409,0.18867924528301888,P10->P5->P2->P18->P12->P16->P20->P13->P3->P11->P8->P15->P17->P4->P9->P14->P6->P19->P7->P1
6,DRF-RH-NoPriorityCompletion,20,264.0,540.0,126.6666666666667,173.40652452799995,80.0,93.33784901537001,0.30303030303030304,P10->P5->P18->P12->P16->P20->P13->P17->P15->P2->P6->P3->P11->P8->P7->P9->P14->P4->P19->P1
6,DRF-RH-NoDeadlinePenalty,20,229.0,481.66666666666674,146.66666666666669,159.19364776908333,40.0,89.85891699558124,0.17467248908296942,P10->P17->P5->P2->P18->P20->P13->P4->P12->P16->P9->P15->P3->P6->P11->P8->P1->P7->P14->P19
6,DRF-RH-NoTopKBonus,20,227.0,478.3333333333334,144.66666666666669,157.00974542350846,40.0,91.42065997002646,0.1762114537444934,P10->P17->P5->P2->P18->P13->P20->P4->P12->P16->P9->P15->P3->P6->P11->P8->P1->P7->P14->P19
6,DRF-RH-NoHybridPool,20,229.0,481.66666666666674,146.66666666666669,159.19364776908333,40.0,84.77967395447195,0.17467248908296942,P10->P17->P5->P2->P18->P20->P13->P4->P12->P16->P9->P15->P3->P6->P11->P8->P1->P7->P14->P19
6,DRF-RH-NoDynamicRiskField,20,229.0,481.66666666666674,146.66666666666669,159.19364776908333,40.0,87.32680202228948,0.17467248908296942,P10->P17->P5->P2->P18->P20->P13->P4->P12->P16->P9->P15->P3->P6->P11->P8->P1->P7->P14->P19
7,DRF-RH-Full,20,220.0,466.66666666666663,84.58333333333334,169.57228607282872,40.0,80.97927097696811,0.18181818181818182,P12->P3->P15->P13->P16->P11->P20->P6->P5->P10->P4->P18->P1->P17->P8->P7->P2->P14->P9->P19
7,DRF-RH-Horizon1,20,184.0,406.66666666666663,101.66666666666666,167.19825585310616,40.0,31.73184802290052,0.21739130434782608,P12->P3->P15->P13->P7->P2->P16->P14->P11->P19->P20->P6->P4->P10->P5->P1->P18->P8->P17->P9
7,DRF-RH-BaseScoreOnly,20,408.0,780.0,135.41666666666669,306.0037618979151,60.0,80.31017903704196,0.14705882352941177,P12->P20->P13->P11->P15->P16->P3->P6->P4->P1->P9->P14->P18->P5->P10->P2->P7->P8->P17->P19
