seed,method,completed_task_num,total_path_length,total_planned_path_length,vehicle_trajectory_length,vehicle_execution_time,total_inspection_time,high_priority_avg_response_time,priority_weighted_completion_time,heading_change_sum,goal_success_rate,trajectory_to_plan_ratio,lambda_mean,lambda_min,lambda_max,lambda_std,failed_task_num,unreachable_task_num,follower_failed_num,adapter_failed_num,task_sequence
5,Priority-Greedy,20,353.0,353.0,327.306325439431,635.5000000000001,735.5000000000001,156.81666666666663,268.25549878732306,208.6486304357479,100.0,0.9272133865139689,0.0,0.0,0.0,0.0,0,0,0,0,P14->P6->P7->P4->P19->P9->P1->P8->P17->P16->P18->P10->P12->P15->P5->P11->P13->P2->P3->P20
6,A-RH-PADS-L,20,231.0,231.0,215.42017339575324,417.1000000000001,517.1,183.42000000000002,177.83835355855672,125.85582086520559,100.0,0.932554863185079,0.5566966881092438,0.47967005512125954,0.629201063278241,0.05029695082441028,0,0,0,0,P10->P17->P20->P13->P15->P5->P2->P18->P12->P16->P14->P9->P4->P8->P1->P3->P6->P11->P19->P7
6,RH-PADS-L,20,266.0,266.0,245.65490666841018,480.4,580.4,154.46000000000004,175.5333194460016,168.29635837450164,100.0,0.9235146867233466,0.0,0.0,0.0,0.0,0,0,0,0,P10->P5->P2->P18->P13->P20->P12->P16->P9->P4->P17->P3->P8->P11->P6->P15->P19->P14->P7->P1
6,AStarOnly,20,165.0,165.0,150.11721461623893,305.9,405.9,204.26,236.33252167988013,123.32050505303143,100.0,0.9098013007044783,0.0,0.0,0.0,0.0,0,0,0,0,P17->P19->P10->P15->P5->P2->P6->P3->P1->P8->P11->P18->P7->P9->P14->P16->P12->P4->P13->P20
6,TSP-2opt,20,165.0,165.0,149.39750257492037,304.1,404.1,194.44,213.2950537759059,121.50811471337852,100.0,0.9054394095449719,0.0,0.0,0.0,0.0,0,0,0,0,P17->P19->P10->P15->P5->P2->P6->P3->P1->P8->P11->P18->P13->P20->P4->P12->P16->P14->P9->P7
6,Greedy-PADS,20,201.0,201.0,185.87048023446764,374.40000000000003,474.4,195.6,203.3404637752284,137.49455797868976,100.0,0.9247287573854112,0.0,0.0,0.0,0.0,0,0,0,0,P10->P17->P5->P2->P15->P20->P13->P18->P7->P12->P16->P9->P14->P4->P19->P3->P6->P8->P1->P11
6,Priority-Greedy,20,294.0,294.0,272.1011605876319,533.7,633.7,177.72000000000003,228.01278945054074,187.5115969810223,100.0,0.925514151658612,0.0,0.0,0.0,0.0,0,0,0,0,P5->P10->P18->P20->P12->P16->P13->P17->P2->P3->P8->P11->P15->P19->P4->P9->P14->P7->P1->P6
7,A-RH-PADS-L,20,184.0,184.0,167.34867007556568,334.7,434.7,132.85,172.37855953116852,128.41357823229245,100.0,0.9095036417150308,0.5976451561647803,0.5240071287342289,0.6543069969485884,0.04232948362552854,0,0,0,0,P12->P3->P15->P4->P10->P5->P6->P18->P17->P1->P8->P20->P11->P14->P16->P2->P7->P13->P19->P9
7,RH-PADS-L,20,233.0,233.0,209.79715976876426,415.0,515.0,87.425,176.6115950573809,152.0407058014551,100.0,0.9004169947157264,0.0,0.0,0.0,0.0,0,0,0,0,P12->P3->P15->P13->P7->P11->P20->P6->P5->P10->P4->P16->P14->P9->P19->P18->P1->P17->P8->P2
7,AStarOnly,20,180.0,180.0,163.04581628997033,328.6,428.6,148.175,173.78247803487756,136.4216447960959,100.0,0.9058100904998352,0.0,0.0,0.0,0.0,0,0,0,0,P12->P5->P10->P4->P15->P3->P8->P17->P18->P1->P6->P20->P19->P11->P14->P16->P2->P7->P13->P9
7,TSP-2opt,20,182.0,182.0,164.19785839618436,332.70000000000005,432.70000000000005,148.175,173.80209310743064,146.02897515925116,100.0,0.9021860351438701,0.0,0.0,0.0,0.0,0,0,0,0,P12->P5->P10->P4->P15->P3->P8->P17->P18->P1->P6->P20->P19->P11->P14->P16->P2->P13->P7->P9
7,Greedy-PADS,20,204.0,204.0,184.17780848628865,373.8,473.80000000000007,102.975,181.3864825778513,155.590534205854,100.0,0.9028323945406307,0.0,0.0,0.0,0.0,0,0,0,0,P12->P3->P15->P13->P7->P16->P14->P11->P20->P6->P4->P10->P5->P1->P18->P17->P8->P2->P19->P9
7,Priority-Greedy,20,286.0,286.0,262.4533640372779,518.7,618.7000000000002,89.12500000000003,230.45103864419352,193.7443526695974,100.0,0.9176691050254472,0.0,0.0,0.0,0.0,0,0,0,0,P12->P20->P11->P13->P15->P3->P6->P4->P16->P14->P9->P5->P10->P1->P18->P17->P8->P2->P7->P19
8,A-RH-PADS-L,20,220.0,220.0,199.41254678000567,387.3,487.3,113.95,192.09627740784697,130.20991235361058,100.0,0.906420667181844,0.5753629624949778,0.47461245651476724,0.6123037971157661,0.04289882948196145,0,0,0,0,P6->P4->P18->P10->P12->P7->P17->P3->P19->P13->P20->P9->P16->P2->P11->P15->P5->P8->P1->P14
8,RH-PADS-L,20,268.0,268.0,246.22619942123652,488.7,588.7,35.6,206.72880194760256,182.2463798772851,100.0,0.9187544754523751,0.0,0.0,0.0,0.0,0,0,0,0,P4->P19->P11->P18->P17->P10->P12->P7->P14->P9->P16->P13->P20->P3->P8->P6->P5->P15->P2->P1
8,AStarOnly,20,181.0,181.0,159.80848281022077,316.30000000000007,416.30000000000007,55.900000000000006,209.3125295631782,112.72779983874561,100.0,0.8829197945316064,0.0,0.0,0.0,0.0,0,0,0,0,P6->P4->P5->P15->P19->P3->P13->P20->P16->P2->P9->P14->P7->P10->P12->P1->P17->P18->P8->P11
8,TSP-2opt,20,183.0,183.0,158.45560368637175,307.59999999999997,407.6,50.60000000000001,192.85778692114113,101.91079553420411,100.0,0.8658776157725232,0.0,0.0,0.0,0.0,0,0,0,0,P6->P4->P15->P5->P19->P13->P20->P16->P2->P9->P14->P7->P10->P12->P1->P17->P18->P8->P3->P11
8,Greedy-PADS,20,224.0,224.0,201.90615208682686,399.0,499.00000000000006,228.80000000000007,207.99233161366044,148.964562777655,100.0,0.9013667503876199,0.0,0.0,0.0,0.0,0,0,0,0,P8->P18->P17->P10->P12->P7->P14->P20->P19->P11->P4->P6->P15->P5->P13->P3->P2->P16->P9->P1
8,Priority-Greedy,20,302.0,302.0,269.0234404094647,526.1,626.1,84.65,238.50441304507203,182.14469436819007,100.0,0.8908060940710751,0.0,0.0,0.0,0.0,0,0,0,0,P19->P11->P4->P18->P10->P12->P7->P17->P8->P6->P13->P16->P9->P20->P3->P5->P15->P2->P14->P1
9,A-RH-PADS-L,20,194.0,194.0,175.28362572523366,337.6,437.6,153.875,187.08316018104165,107.65892346562548,100.0,0.9035238439445035,0.593598633851735,0.5187043152685962,0.6326217225505266,0.03288723536095398,0,0,0,0,P4->P15->P1->P12->P13->P2->P14->P19->P20->P3->P17->P16->P8->P6->P5->P9->P10->P11->P7->P18
9,RH-PADS-L,20,218.0,218.0,198.73659511502782,381.1,481.1,127.3375,182.14912367001202,116.35019111477831,100.0,0.9116357574083845,0.0,0.0,0.0,0.0,0,0,0,0,P4->P15->P1->P12->P13->P2->P14->P7->P17->P20->P6->P5->P9->P10->P11->P19->P3->P18->P16->P8
9,AStarOnly,20,166.0,166.0,146.1056156154176,294.0,394.0,179.95,175.97351549795022,125.47966583093296,100.0,0.8801543109362506,0.0,0.0,0.0,0.0,0,0,0,0,P4->P10->P9->P15->P1->P12->P2->P13->P19->P14->P11->P3->P20->P8->P6->P5->P16->P17->P18->P7
9,TSP-2opt,20,166.0,166.0,146.1056156154176,294.0,394.0,179.95,175.97351549795022,125.47966583093296,100.0,0.8801543109362506,0.0,0.0,0.0,0.0,0,0,0,0,P4->P10->P9->P15->P1->P12->P2->P13->P19->P14->P11->P3->P20->P8->P6->P5->P16->P17->P18->P7
9,Greedy-PADS,20,189.0,189.0,168.34298996671413,337.4,437.3999999999999,181.7375,201.00857313872407,132.97099930905222,100.0,0.8907036506175351,0.0,0.0,0.0,0.0,0,0,0,0,P4->P15->P9->P10->P1->P14->P19->P12->P13->P2->P7->P17->P16->P20->P3->P18->P11->P8->P6->P5
9,Priority-Greedy,20,276.0,276.0,258.44990731188034,491.9,591.9,166.7875,263.8701340072371,135.83111436472691,100.0,0.9364127076517403,0.0,0.0,0.0,0.0,0,0,0,0,P15->P4->P17->P20->P1->P12->P7->P13->P6->P5->P9->P10->P14->P19->P2->P11->P3->P18->P16->P8
