seed,method,completed_task_num,total_path_length,total_inspection_time,high_priority_avg_response_time,task_sequence
6,FS,20,529.0,981.6666666666667,464.0,P1->P2->P3->P4->P5->P6->P7->P8->P9->P10->P11->P12->P13->P14->P15->P16->P17->P18->P19->P20
6,NNF,20,165.0,374.99999999999994,179.66666666666666,P17->P19->P10->P15->P5->P2->P6->P3->P1->P8->P11->P18->P13->P20->P4->P12->P16->P14->P9->P7
6,AStarOnly,20,162.0,369.99999999999994,193.66666666666666,P17->P19->P10->P15->P5->P2->P6->P3->P8->P1->P11->P7->P18->P13->P20->P4->P12->P16->P14->P9
6,Proposed,20,234.0,490.0000000000001,159.33333333333334,P10->P17->P5->P2->P20->P13->P18->P12->P16->P14->P4->P9->P7->P8->P3->P6->P11->P15->P19->P1
7,FS,20,448.0,846.6666666666667,500.41666666666674,P1->P2->P3->P4->P5->P6->P7->P8->P9->P10->P11->P12->P13->P14->P15->P16->P17->P18->P19->P20
7,NNF,20,182.0,403.3333333333334,138.33333333333337,P12->P5->P10->P4->P15->P3->P8->P17->P18->P1->P6->P20->P19->P11->P14->P16->P2->P13->P7->P9
7,AStarOnly,20,188.0,413.33333333333337,187.91666666666666,P12->P5->P10->P4->P15->P13->P7->P2->P16->P14->P11->P19->P20->P6->P18->P17->P8->P1->P3->P9
7,Proposed,20,280.0,566.6666666666667,121.25000000000003,P12->P20->P11->P16->P13->P15->P4->P5->P1->P10->P18->P3->P8->P6->P17->P14->P2->P7->P19->P9
8,FS,20,511.0,951.6666666666669,547.5000000000001,P1->P2->P3->P4->P5->P6->P7->P8->P9->P10->P11->P12->P13->P14->P15->P16->P17->P18->P19->P20
8,NNF,20,183.0,405.0,49.16666666666667,P6->P4->P15->P5->P19->P13->P20->P16->P2->P9->P14->P7->P10->P12->P1->P17->P18->P8->P3->P11
8,AStarOnly,20,174.0,390.00000000000006,49.16666666666667,P6->P4->P15->P5->P19->P3->P13->P20->P9->P16->P2->P11->P8->P18->P17->P1->P10->P12->P7->P14
8,Proposed,20,272.0,553.3333333333334,200.83333333333337,P18->P17->P8->P19->P11->P16->P9->P20->P13->P3->P4->P6->P10->P12->P7->P14->P1->P2->P5->P15
9,FS,20,369.0,715.0,410.5555555555556,P1->P2->P3->P4->P5->P6->P7->P8->P9->P10->P11->P12->P13->P14->P15->P16->P17->P18->P19->P20
9,NNF,20,166.0,376.66666666666663,205.27777777777774,P4->P10->P9->P15->P1->P12->P2->P13->P19->P14->P11->P3->P20->P8->P6->P5->P16->P17->P18->P7
9,AStarOnly,20,153.0,355.00000000000006,185.55555555555554,P4->P15->P10->P9->P5->P6->P8->P20->P3->P11->P14->P19->P1->P12->P2->P13->P7->P18->P16->P17
9,Proposed,20,240.0,500.00000000000006,266.11111111111114,P15->P9->P5->P4->P13->P2->P1->P12->P14->P17->P20->P3->P11->P7->P19->P16->P18->P8->P6->P10
10,FS,19,396.0,754.9999999999999,364.3333333333333,P1->P2->P3->P4->P5->P7->P8->P9->P10->P11->P12->P13->P14->P15->P16->P17->P18->P19->P20
10,NNF,19,118.0,291.66666666666674,209.33333333333334,P10->P9->P17->P13->P5->P18->P3->P12->P8->P7->P11->P14->P4->P2->P1->P20->P15->P19->P16
10,AStarOnly,19,121.0,296.66666666666674,220.00000000000006,P10->P9->P17->P5->P13->P3->P18->P12->P8->P7->P11->P4->P14->P16->P19->P15->P20->P1->P2
10,Proposed,19,204.0,434.99999999999994,106.33333333333334,P10->P8->P11->P7->P2->P16->P19->P20->P4->P14->P1->P15->P17->P9->P13->P3->P18->P12->P5
11,FS,20,386.0,743.3333333333333,311.66666666666663,P1->P2->P3->P4->P5->P6->P7->P8->P9->P10->P11->P12->P13->P14->P15->P16->P17->P18->P19->P20
11,NNF,20,144.0,339.99999999999994,98.0,P14->P3->P20->P13->P5->P2->P18->P8->P10->P7->P15->P4->P1->P6->P9->P16->P19->P11->P17->P12
11,AStarOnly,20,142.0,336.66666666666663,98.0,P14->P3->P20->P13->P5->P2->P18->P8->P10->P7->P15->P4->P1->P9->P6->P16->P19->P11->P17->P12
11,Proposed,20,249.0,514.9999999999999,90.66666666666666,P3->P13->P2->P20->P17->P6->P9->P10->P4->P7->P15->P19->P8->P18->P5->P12->P11->P16->P1->P14
12,FS,20,472.0,886.6666666666667,543.8888888888889,P1->P2->P3->P4->P5->P6->P7->P8->P9->P10->P11->P12->P13->P14->P15->P16->P17->P18->P19->P20
12,NNF,20,159.0,365.0,167.59259259259258,P7->P19->P3->P1->P18->P17->P12->P15->P6->P10->P20->P4->P11->P13->P9->P5->P2->P14->P16->P8
12,AStarOnly,20,164.0,373.33333333333337,122.40740740740742,P7->P19->P3->P16->P14->P8->P18->P17->P12->P15->P6->P10->P20->P4->P11->P13->P9->P5->P2->P1
12,Proposed,20,274.0,556.6666666666667,246.85185185185185,P19->P18->P20->P5->P16->P7->P3->P2->P4->P9->P13->P6->P10->P12->P17->P15->P1->P8->P14->P11
13,FS,20,527.0,978.3333333333334,256.33333333333337,P1->P2->P3->P4->P5->P6->P7->P8->P9->P10->P11->P12->P13->P14->P15->P16->P17->P18->P19->P20
13,NNF,20,191.0,418.33333333333337,220.66666666666666,P8->P13->P10->P16->P11->P9->P18->P1->P6->P14->P3->P19->P4->P17->P12->P2->P5->P15->P7->P20
13,AStarOnly,20,191.0,418.33333333333337,223.0,P8->P13->P10->P16->P11->P9->P18->P1->P6->P14->P3->P19->P4->P17->P12->P5->P2->P15->P7->P20
13,Proposed,20,259.0,531.6666666666667,214.66666666666666,P8->P13->P10->P3->P7->P6->P14->P18->P9->P11->P12->P4->P2->P5->P17->P19->P1->P15->P16->P20
14,FS,20,449.0,848.3333333333333,669.7222222222222,P1->P2->P3->P4->P5->P6->P7->P8->P9->P10->P11->P12->P13->P14->P15->P16->P17->P18->P19->P20
14,NNF,20,197.0,428.33333333333337,210.55555555555557,P2->P11->P3->P7->P18->P9->P10->P14->P12->P19->P17->P6->P13->P1->P16->P15->P4->P5->P20->P8
14,AStarOnly,20,197.0,428.33333333333337,210.55555555555557,P2->P11->P3->P7->P18->P9->P10->P14->P12->P19->P17->P6->P13->P1->P16->P15->P4->P5->P20->P8
14,Proposed,20,301.0,601.6666666666666,103.05555555555554,P11->P20->P15->P19->P17->P14->P10->P12->P9->P18->P16->P6->P4->P5->P7->P3->P2->P8->P13->P1
15,FS,20,457.0,861.6666666666666,533.3333333333334,P1->P2->P3->P4->P5->P6->P7->P8->P9->P10->P11->P12->P13->P14->P15->P16->P17->P18->P19->P20
15,NNF,20,183.0,405.0,200.41666666666666,P16->P7->P11->P2->P6->P20->P4->P12->P19->P17->P8->P3->P15->P5->P13->P10->P18->P9->P1->P14
15,AStarOnly,20,183.0,405.0,200.41666666666666,P16->P7->P11->P2->P6->P20->P4->P12->P19->P17->P8->P3->P15->P5->P13->P10->P18->P9->P1->P14
15,Proposed,20,260.0,533.3333333333334,135.41666666666666,P20->P6->P4->P13->P10->P7->P19->P8->P17->P3->P1->P14->P16->P18->P2->P11->P12->P5->P15->P9
16,FS,20,381.0,735.0,121.66666666666669,P1->P2->P3->P4->P5->P6->P7->P8->P9->P10->P11->P12->P13->P14->P15->P16->P17->P18->P19->P20
16,NNF,20,179.0,398.33333333333337,110.00000000000001,P6->P13->P10->P11->P4->P19->P14->P12->P5->P2->P1->P18->P7->P16->P15->P17->P8->P9->P20->P3
16,AStarOnly,20,195.0,425.0,425.0,P6->P13->P10->P11->P19->P14->P12->P5->P2->P1->P18->P7->P16->P15->P17->P8->P20->P3->P9->P4
16,Proposed,20,249.0,515.0,113.33333333333334,P16->P18->P12->P19->P4->P1->P14->P11->P20->P9->P3->P15->P17->P8->P7->P5->P2->P10->P13->P6
17,FS,20,369.0,715.0,648.3333333333334,P1->P2->P3->P4->P5->P6->P7->P8->P9->P10->P11->P12->P13->P14->P15->P16->P17->P18->P19->P20
17,NNF,20,147.0,345.0,275.0,P9->P10->P5->P8->P4->P11->P6->P3->P14->P19->P1->P15->P17->P13->P7->P18->P12->P2->P16->P20
17,AStarOnly,20,161.0,368.3333333333333,368.3333333333333,P9->P10->P6->P3->P14->P19->P1->P15->P17->P13->P7->P4->P8->P11->P5->P2->P16->P20->P12->P18
17,Proposed,20,230.0,483.3333333333333,200.0,P10->P9->P5->P12->P2->P20->P18->P1->P14->P3->P6->P17->P4->P11->P8->P7->P13->P19->P15->P16
18,FS,20,517.0,961.6666666666667,416.11111111111114,P1->P2->P3->P4->P5->P6->P7->P8->P9->P10->P11->P12->P13->P14->P15->P16->P17->P18->P19->P20
18,NNF,20,184.0,406.6666666666667,272.77777777777777,P18->P9->P12->P6->P8->P14->P11->P10->P16->P5->P19->P15->P3->P1->P13->P17->P4->P20->P7->P2
18,AStarOnly,20,184.0,406.66666666666663,267.77777777777777,P9->P18->P12->P6->P8->P14->P11->P10->P16->P5->P19->P15->P3->P1->P13->P4->P17->P20->P7->P2
18,Proposed,20,224.0,473.3333333333334,215.00000000000003,P18->P9->P7->P16->P10->P5->P19->P15->P3->P1->P14->P11->P6->P12->P8->P20->P2->P13->P17->P4
19,FS,20,328.0,646.6666666666666,412.6666666666667,P1->P2->P3->P4->P5->P6->P7->P8->P9->P10->P11->P12->P13->P14->P15->P16->P17->P18->P19->P20
19,NNF,20,164.0,373.33333333333337,190.66666666666669,P15->P17->P14->P2->P3->P5->P16->P11->P13->P18->P4->P1->P10->P20->P12->P8->P9->P19->P6->P7
19,AStarOnly,20,155.0,358.33333333333337,286.6666666666667,P15->P17->P14->P3->P5->P2->P6->P7->P19->P9->P8->P12->P20->P10->P16->P11->P13->P18->P4->P1
19,Proposed,20,280.0,566.6666666666666,170.0,P4->P16->P3->P2->P15->P17->P5->P14->P10->P20->P8->P12->P11->P18->P6->P7->P19->P13->P1->P9
20,FS,20,400.0,766.6666666666666,521.0,P1->P2->P3->P4->P5->P6->P7->P8->P9->P10->P11->P12->P13->P14->P15->P16->P17->P18->P19->P20
20,NNF,20,149.0,348.3333333333333,125.33333333333334,P17->P19->P15->P4->P16->P10->P7->P9->P14->P6->P1->P20->P2->P11->P3->P5->P13->P8->P12->P18
20,AStarOnly,20,157.0,361.6666666666667,138.33333333333331,P19->P17->P15->P4->P16->P10->P7->P9->P6->P14->P1->P20->P2->P11->P3->P5->P13->P8->P12->P18
20,Proposed,20,198.0,429.99999999999994,149.33333333333334,P19->P17->P15->P9->P20->P2->P1->P7->P6->P14->P13->P8->P11->P5->P3->P18->P12->P4->P16->P10
21,FS,20,371.0,718.3333333333334,396.9444444444445,P1->P2->P3->P4->P5->P6->P7->P8->P9->P10->P11->P12->P13->P14->P15->P16->P17->P18->P19->P20
21,NNF,20,142.0,336.66666666666674,181.94444444444446,P16->P12->P18->P10->P8->P15->P2->P1->P9->P19->P11->P7->P20->P4->P6->P17->P13->P3->P5->P14
21,AStarOnly,20,168.0,380.0,176.94444444444443,P16->P12->P18->P15->P10->P8->P2->P1->P9->P19->P11->P7->P5->P3->P13->P17->P6->P20->P4->P14
21,Proposed,20,293.0,588.3333333333335,156.11111111111111,P8->P15->P10->P12->P11->P7->P5->P13->P20->P19->P4->P2->P1->P18->P9->P14->P3->P17->P6->P16
22,FS,20,453.0,855.0,441.6666666666667,P1->P2->P3->P4->P5->P6->P7->P8->P9->P10->P11->P12->P13->P14->P15->P16->P17->P18->P19->P20
22,NNF,20,172.0,386.6666666666667,263.3333333333333,P14->P20->P12->P11->P18->P4->P13->P16->P19->P15->P1->P5->P10->P17->P8->P3->P7->P6->P2->P9
22,AStarOnly,20,220.0,466.6666666666667,276.6666666666667,P14->P20->P12->P6->P2->P7->P3->P18->P11->P15->P19->P13->P16->P4->P8->P9->P17->P1->P5->P10
22,Proposed,20,255.0,525.0,220.00000000000003,P14->P2->P6->P7->P13->P16->P18->P15->P1->P10->P5->P17->P19->P8->P3->P9->P11->P12->P20->P4
23,FS,20,423.0,805.0000000000001,544.5833333333334,P1->P2->P3->P4->P5->P6->P7->P8->P9->P10->P11->P12->P13->P14->P15->P16->P17->P18->P19->P20
23,NNF,20,155.0,358.3333333333333,208.12499999999997,P7->P15->P2->P3->P17->P19->P11->P6->P18->P12->P13->P9->P5->P10->P14->P1->P8->P4->P20->P16
23,AStarOnly,20,151.0,351.6666666666667,212.5,P7->P15->P2->P3->P17->P11->P6->P18->P12->P13->P9->P5->P10->P4->P20->P16->P14->P1->P19->P8
23,Proposed,20,311.0,618.3333333333334,254.37500000000006,P13->P1->P12->P19->P5->P4->P10->P15->P11->P6->P18->P14->P9->P8->P17->P2->P7->P3->P20->P16
24,FS,20,391.0,751.6666666666666,380.0,P1->P2->P3->P4->P5->P6->P7->P8->P9->P10->P11->P12->P13->P14->P15->P16->P17->P18->P19->P20
24,NNF,20,145.0,341.66666666666663,157.57575757575756,P12->P6->P14->P16->P10->P9->P3->P11->P17->P15->P20->P2->P8->P19->P7->P4->P13->P1->P18->P5
24,AStarOnly,20,154.0,356.66666666666674,164.54545454545453,P6->P12->P14->P16->P10->P9->P3->P11->P17->P15->P20->P2->P4->P7->P19->P5->P18->P8->P13->P1
24,Proposed,20,263.0,538.3333333333334,209.54545454545453,P6->P19->P2->P17->P11->P10->P9->P15->P14->P16->P12->P1->P13->P18->P8->P4->P3->P20->P7->P5
25,FS,20,406.0,776.6666666666667,442.7083333333334,P1->P2->P3->P4->P5->P6->P7->P8->P9->P10->P11->P12->P13->P14->P15->P16->P17->P18->P19->P20
25,NNF,20,182.0,403.33333333333326,172.29166666666666,P18->P2->P14->P4->P6->P9->P5->P11->P15->P19->P10->P13->P12->P7->P8->P20->P17->P1->P16->P3
25,AStarOnly,20,184.0,406.6666666666666,148.74999999999997,P2->P18->P15->P11->P19->P5->P9->P14->P4->P6->P1->P16->P3->P20->P17->P12->P10->P13->P7->P8
25,Proposed,20,291.0,584.9999999999999,178.125,P2->P18->P16->P15->P19->P11->P5->P4->P1->P12->P7->P8->P10->P9->P3->P14->P20->P17->P6->P13
26,FS,20,383.0,738.3333333333333,458.88888888888886,P1->P2->P3->P4->P5->P6->P7->P8->P9->P10->P11->P12->P13->P14->P15->P16->P17->P18->P19->P20
26,NNF,20,133.0,321.6666666666667,121.11111111111113,P1->P15->P7->P19->P12->P4->P2->P10->P16->P11->P20->P13->P8->P17->P5->P9->P18->P6->P3->P14
26,AStarOnly,20,147.0,345.0,126.66666666666667,P1->P15->P7->P19->P12->P4->P9->P8->P17->P5->P13->P2->P10->P16->P11->P20->P18->P6->P3->P14
26,Proposed,20,197.0,428.33333333333337,95.55555555555556,P1->P15->P4->P9->P2->P20->P17->P8->P5->P13->P10->P11->P16->P12->P19->P7->P14->P6->P18->P3
27,FS,20,453.0,855.0,465.6666666666667,P1->P2->P3->P4->P5->P6->P7->P8->P9->P10->P11->P12->P13->P14->P15->P16->P17->P18->P19->P20
27,NNF,20,165.0,374.99999999999994,231.6666666666666,P16->P7->P2->P6->P3->P13->P1->P14->P15->P19->P8->P17->P11->P20->P18->P12->P10->P5->P9->P4
27,AStarOnly,20,163.0,371.6666666666667,241.66666666666669,P7->P16->P13->P3->P1->P6->P2->P10->P18->P12->P11->P20->P17->P8->P19->P14->P15->P5->P9->P4
27,Proposed,20,305.0,608.3333333333334,238.00000000000006,P2->P3->P1->P5->P18->P14->P19->P9->P15->P12->P17->P11->P4->P10->P6->P16->P7->P13->P8->P20
28,FS,20,457.0,861.6666666666667,446.1111111111112,P1->P2->P3->P4->P5->P6->P7->P8->P9->P10->P11->P12->P13->P14->P15->P16->P17->P18->P19->P20
28,NNF,20,185.0,408.33333333333337,137.77777777777777,P13->P6->P11->P18->P14->P5->P8->P10->P3->P1->P9->P20->P2->P16->P15->P4->P7->P19->P12->P17
28,AStarOnly,20,189.0,415.0,139.25925925925924,P13->P6->P11->P18->P14->P5->P8->P10->P3->P1->P2->P20->P9->P16->P15->P4->P7->P19->P12->P17
28,Proposed,20,211.0,451.6666666666667,134.25925925925927,P13->P18->P6->P11->P3->P2->P9->P20->P16->P8->P10->P5->P14->P12->P19->P7->P4->P15->P1->P17
29,FS,20,394.0,756.6666666666669,456.11111111111114,P1->P2->P3->P4->P5->P6->P7->P8->P9->P10->P11->P12->P13->P14->P15->P16->P17->P18->P19->P20
29,NNF,20,137.0,328.3333333333333,165.55555555555557,P13->P2->P11->P19->P6->P7->P3->P18->P4->P17->P12->P14->P16->P5->P10->P15->P9->P20->P8->P1
29,AStarOnly,20,158.0,363.3333333333333,205.55555555555554,P13->P5->P16->P14->P12->P17->P4->P3->P18->P19->P6->P7->P11->P2->P9->P20->P8->P1->P10->P15
29,Proposed,20,292.0,586.6666666666665,176.66666666666666,P10->P12->P20->P7->P19->P11->P13->P5->P8->P17->P4->P3->P18->P1->P9->P14->P15->P2->P6->P16
