seed,method,completed_task_num,total_path_length,total_inspection_time,high_priority_avg_response_time,priority_weighted_completion_time,high_priority_top5_rate,algorithm_runtime_ms,lambda_mean,lambda_min,lambda_max,lambda_std,task_sequence
9,A-RH-PADS,20,162.0,370.00000000000006,200.2777777777778,165.66673424425028,20.0,65.06927002919838,0.6072756526977712,0.5584037677549034,0.6359011909872527,0.02372115681344148,P4->P15->P1->P14->P19->P12->P2->P13->P10->P9->P5->P6->P8->P20->P3->P17->P16->P18->P11->P7
9,A-RH-PADS-L,20,194.0,423.3333333333333,182.2222222222222,178.73513174663543,40.0,54.713456018362194,0.593598633851735,0.5187043152685962,0.6326217225505266,0.03288723536095398,P4->P15->P1->P12->P13->P2->P14->P19->P20->P3->P17->P16->P8->P6->P5->P9->P10->P11->P7->P18
10,AStarOnly,19,121.0,296.66666666666674,220.00000000000006,178.4921620447438,0.0,51.304969005286694,0.0,0.0,0.0,0.0,P10->P9->P17->P5->P13->P3->P18->P12->P8->P7->P11->P4->P14->P16->P19->P15->P20->P1->P2
10,TSP-2opt,19,118.0,291.66666666666674,209.33333333333334,177.0679915055636,0.0,52.89037502370775,0.0,0.0,0.0,0.0,P10->P9->P17->P13->P5->P18->P3->P12->P8->P7->P11->P14->P4->P2->P1->P20->P15->P19->P16
10,Greedy-PADS,19,202.0,431.66666666666663,108.00000000000003,171.9305791915998,80.0,50.73349399026483,0.0,0.0,0.0,0.0,P10->P8->P11->P7->P2->P4->P16->P19->P20->P15->P14->P1->P12->P3->P18->P13->P9->P17->P5
10,Priority-Greedy,19,244.0,501.66666666666674,107.33333333333334,177.16445519238567,80.0,51.575306977611035,0.0,0.0,0.0,0.0,P7->P8->P11->P16->P19->P20->P2->P4->P13->P5->P10->P17->P9->P3->P14->P1->P15->P18->P12
10,RH-PADS,19,202.0,431.66666666666663,105.0,169.25875829769225,80.0,1005.29728399124,0.0,0.0,0.0,0.0,P8->P7->P11->P16->P19->P20->P1->P2->P4->P14->P3->P13->P5->P10->P9->P17->P15->P18->P12
10,RH-PADS-L,19,200.0,428.33333333333337,103.33333333333333,166.96267204029897,80.0,487.2941539506428,0.0,0.0,0.0,0.0,P8->P11->P7->P16->P19->P20->P2->P4->P14->P18->P3->P13->P5->P10->P9->P17->P15->P1->P12
10,A-RH-PADS,19,183.0,399.99999999999994,117.33333333333333,156.7721679518482,60.0,89.57038394873962,0.5912712053122336,0.5474117455930532,0.6527123109637024,0.030078095350780473,P13->P8->P11->P7->P16->P4->P14->P2->P1->P20->P19->P17->P9->P10->P5->P12->P3->P18->P15
10,A-RH-PADS-L,19,213.0,450.00000000000006,116.33333333333334,174.1660637386347,60.0,79.06452100723982,0.5844042939832272,0.5313755353274852,0.6490937106590873,0.03184516241462564,P7->P8->P11->P4->P16->P14->P2->P1->P20->P19->P13->P5->P10->P9->P3->P12->P18->P17->P15
11,AStarOnly,20,142.0,336.66666666666663,98.0,157.68439698677588,60.0,30.11647000676021,0.0,0.0,0.0,0.0,P14->P3->P20->P13->P5->P2->P18->P8->P10->P7->P15->P4->P1->P9->P6->P16->P19->P11->P17->P12
11,TSP-2opt,20,140.0,333.33333333333326,99.33333333333334,157.80720253632947,60.0,33.85907900519669,0.0,0.0,0.0,0.0,P14->P3->P20->P13->P5->P2->P18->P8->P10->P7->P1->P4->P15->P9->P6->P16->P19->P11->P17->P12
11,Greedy-PADS,20,229.0,481.6666666666666,92.33333333333333,196.9836154332584,80.0,30.148050049319863,0.0,0.0,0.0,0.0,P3->P13->P2->P20->P17->P19->P9->P6->P7->P4->P10->P15->P8->P18->P5->P12->P11->P16->P1->P14
11,Priority-Greedy,20,255.0,525.0,82.66666666666667,203.196535840995,80.0,30.209882999770343,0.0,0.0,0.0,0.0,P3->P13->P20->P2->P6->P9->P4->P10->P7->P19->P17->P18->P8->P15->P1->P14->P5->P12->P11->P16
11,RH-PADS,20,217.0,461.6666666666667,68.66666666666666,175.6090999609304,80.0,605.60011502821,0.0,0.0,0.0,0.0,P3->P20->P13->P2->P10->P7->P4->P9->P6->P19->P8->P18->P11->P17->P12->P5->P14->P1->P15->P16
11,RH-PADS-L,20,215.0,458.3333333333333,68.66666666666666,168.62774766657495,80.0,285.602321033366,0.0,0.0,0.0,0.0,P3->P20->P13->P2->P10->P7->P4->P15->P9->P6->P8->P18->P19->P11->P17->P12->P5->P14->P1->P16
11,A-RH-PADS,20,213.0,454.99999999999994,68.66666666666666,175.32575994780373,80.0,70.37182402564213,0.5534802961828832,0.45664890293129246,0.5983728731772207,0.04417098975061512,P3->P20->P13->P2->P10->P7->P4->P9->P6->P8->P18->P19->P11->P17->P12->P5->P16->P15->P1->P14
11,A-RH-PADS-L,20,219.0,464.99999999999994,82.99999999999999,160.62889662677148,80.0,56.258628028444946,0.5581481270092364,0.478892887564468,0.6149406107923132,0.039526475971589224,P3->P20->P13->P2->P18->P8->P10->P7->P6->P9->P15->P4->P1->P11->P19->P17->P12->P5->P16->P14
12,AStarOnly,20,164.0,373.33333333333337,122.40740740740742,155.8081251560957,80.0,28.34573102882132,0.0,0.0,0.0,0.0,P7->P19->P3->P16->P14->P8->P18->P17->P12->P15->P6->P10->P20->P4->P11->P13->P9->P5->P2->P1
12,TSP-2opt,20,155.0,358.3333333333333,154.44444444444446,166.43355432985962,80.0,46.76708800252527,0.0,0.0,0.0,0.0,P7->P19->P3->P16->P14->P2->P5->P9->P13->P11->P4->P20->P10->P6->P15->P12->P17->P18->P1->P8
12,Greedy-PADS,20,230.0,483.33333333333337,175.00000000000003,190.2279343346183,80.0,30.233087949454784,0.0,0.0,0.0,0.0,P19->P7->P3->P16->P18->P12->P17->P20->P5->P4->P9->P2->P14->P6->P10->P15->P8->P1->P11->P13
12,Priority-Greedy,20,299.0,598.3333333333334,179.62962962962962,227.86082902070814,100.0,29.185494990088046,0.0,0.0,0.0,0.0,P16->P18->P6->P19->P7->P3->P12->P20->P4->P13->P5->P2->P14->P17->P10->P15->P1->P9->P11->P8
12,RH-PADS,20,218.0,463.3333333333333,110.0,154.2146183160675,80.0,592.215295007918,0.0,0.0,0.0,0.0,P7->P19->P16->P18->P17->P12->P6->P20->P4->P13->P5->P9->P2->P14->P3->P1->P8->P15->P10->P11
12,RH-PADS-L,20,206.0,443.33333333333326,109.25925925925925,152.19561455552602,100.0,259.6017569885589,0.0,0.0,0.0,0.0,P7->P19->P16->P18->P12->P6->P10->P20->P4->P13->P9->P5->P2->P14->P3->P1->P8->P17->P15->P11
12,A-RH-PADS,20,198.0,430.0,90.55555555555556,136.41278819117207,100.0,66.45305204438046,0.5642265951187537,0.4493682610274782,0.63506861705913,0.05194785008233728,P7->P19->P16->P14->P18->P17->P12->P6->P10->P20->P4->P13->P9->P5->P2->P3->P1->P15->P8->P11
