map_type,seed,method,completed_task_num,total_path_length,total_inspection_time,high_priority_avg_response_time,priority_weighted_completion_time,high_priority_top5_rate,algorithm_runtime_ms,task_sequence
corridor,6,Priority-Greedy,20,284.0,573.3333333333334,118.33333333333333,219.90874029440965,40.0,17.763587995432317,P8->P12->P6->P13->P15->P16->P7->P9->P5->P4->P14->P19->P11->P10->P3->P20->P18->P2->P17->P1
corridor,6,TSP-2opt,20,146.0,343.33333333333326,137.2222222222222,184.39228634908883,0.0,30.185013019945472,P11->P16->P14->P3->P20->P7->P17->P12->P1->P8->P6->P13->P5->P2->P4->P9->P10->P15->P18->P19
corridor,6,DRF-RH-Full,20,202.0,436.6666666666667,177.7777777777778,157.96639072053864,20.0,62.10875598480925,P16->P15->P8->P6->P13->P9->P7->P14->P11->P19->P10->P4->P2->P5->P12->P17->P1->P18->P3->P20
corridor,6,DRF-RH-Light,20,237.0,495.00000000000006,145.00000000000003,168.78857327266678,20.0,39.87783699994907,P16->P15->P9->P8->P6->P13->P12->P5->P7->P14->P11->P19->P18->P3->P10->P4->P2->P20->P1->P17
corridor,7,AStarOnly,20,149.0,348.33333333333337,134.44444444444443,153.42612935158243,20.0,19.10416199825704,P10->P4->P1->P9->P15->P8->P12->P6->P3->P11->P14->P19->P13->P2->P16->P7->P5->P20->P17->P18
corridor,7,Proposed-Balanced,20,240.0,499.9999999999999,215.0,249.9006331710732,20.0,19.113099027890712,P6->P15->P2->P3->P14->P11->P8->P12->P18->P9->P5->P17->P7->P20->P4->P10->P1->P19->P13->P16
corridor,7,RH-Proposed-v2,20,210.0,450.0,102.22222222222221,168.51903070138886,20.0,423.2232890208252,P9->P15->P6->P11->P3->P14->P12->P20->P5->P7->P10->P4->P1->P8->P18->P2->P13->P19->P16->P17
corridor,7,Priority-Greedy,20,224.0,473.33333333333326,171.66666666666666,207.97889151589766,20.0,19.608783011790365,P14->P6->P11->P3->P15->P9->P20->P5->P10->P4->P1->P12->P8->P18->P7->P17->P2->P13->P19->P16
corridor,7,TSP-2opt,20,124.0,306.6666666666667,181.1111111111111,175.9222956015687,20.0,26.206934009678662,P1->P4->P10->P9->P15->P8->P18->P19->P13->P2->P16->P14->P3->P11->P6->P12->P7->P5->P20->P17
corridor,7,DRF-RH-Full,20,210.0,450.0,102.22222222222221,168.037468239753,20.0,63.065291033126414,P9->P15->P6->P3->P11->P14->P12->P20->P5->P7->P10->P4->P1->P8->P18->P2->P13->P19->P16->P17
corridor,7,DRF-RH-Light,20,210.0,450.0,96.66666666666667,168.9926354201498,40.0,41.17989703081548,P9->P6->P3->P11->P14->P12->P15->P7->P5->P20->P10->P4->P1->P8->P18->P2->P13->P19->P16->P17
corridor,8,AStarOnly,20,156.0,360.0,159.81481481481484,164.9016836989649,20.0,27.787959028501064,P4->P2->P8->P13->P16->P19->P15->P11->P12->P17->P1->P9->P20->P6->P7->P10->P5->P14->P18->P3
corridor,8,Proposed-Balanced,20,224.0,473.33333333333337,172.03703703703704,231.77149432020363,60.0,20.622684038244188,P15->P4->P2->P13->P12->P11->P17->P1->P20->P6->P14->P7->P18->P10->P9->P5->P19->P8->P16->P3
corridor,8,RH-Proposed-v2,20,226.0,476.6666666666667,102.40740740740743,171.09541317684912,100.0,430.23282795911655,P4->P15->P12->P11->P1->P6->P14->P18->P17->P3->P19->P8->P13->P2->P7->P10->P20->P9->P5->P16
corridor,8,Priority-Greedy,20,232.0,486.66666666666663,117.96296296296298,183.66106234321947,100.0,20.371285965666175,P4->P15->P12->P17->P1->P6->P18->P14->P11->P3->P19->P8->P13->P2->P10->P7->P20->P9->P5->P16
corridor,8,TSP-2opt,20,140.0,333.33333333333337,150.74074074074076,160.18347900495218,20.0,27.715270989574492,P4->P2->P13->P8->P16->P19->P15->P12->P11->P18->P14->P5->P1->P9->P20->P6->P10->P7->P17->P3
corridor,8,DRF-RH-Full,20,197.0,428.3333333333333,103.88888888888889,161.52761895104973,100.0,64.53015300212428,P4->P15->P11->P12->P1->P14->P18->P6->P10->P7->P17->P3->P19->P8->P13->P2->P16->P20->P9->P5
corridor,8,DRF-RH-Light,20,217.0,461.6666666666667,104.62962962962965,163.27854494987815,100.0,43.44057699199766,P4->P15->P11->P12->P17->P1->P6->P14->P18->P20->P10->P7->P8->P19->P3->P16->P2->P13->P9->P5
corridor,9,AStarOnly,20,162.0,370.00000000000006,179.72222222222226,167.67795213550744,20.0,18.6324929818511,P18->P17->P8->P3->P1->P7->P14->P9->P2->P13->P5->P15->P12->P10->P11->P20->P16->P19->P4->P6
corridor,9,Proposed-Balanced,20,201.0,435.0000000000001,216.11111111111117,204.59126849803735,20.0,17.865079978946596,P18->P1->P8->P4->P17->P3->P9->P13->P12->P10->P11->P5->P16->P20->P2->P19->P15->P6->P14->P7
corridor,9,RH-Proposed-v2,20,226.0,476.66666666666663,132.7777777777778,214.999205105666,80.0,361.27814394421875,P12->P11->P20->P5->P13->P16->P6->P8->P18->P3->P19->P9->P2->P15->P10->P7->P1->P14->P17->P4
corridor,9,Priority-Greedy,20,225.0,475.00000000000006,136.66666666666666,204.82899533383645,100.0,17.836621031165123,P6->P5->P12->P11->P20->P16->P13->P2->P19->P8->P18->P3->P4->P1->P10->P15->P9->P7->P14->P17
corridor,9,TSP-2opt,20,142.0,336.66666666666674,198.61111111111117,200.57810291798953,20.0,29.99379503307864,P3->P18->P17->P6->P14->P9->P13->P16->P11->P20->P10->P12->P15->P5->P2->P19->P7->P1->P8->P4
corridor,9,DRF-RH-Full,20,216.0,459.9999999999999,131.11111111111111,191.60649233770508,80.0,61.06121599441394,P5->P12->P11->P20->P15->P13->P16->P2->P6->P8->P18->P3->P1->P7->P19->P9->P10->P14->P17->P4
corridor,9,DRF-RH-Light,20,214.0,456.66666666666663,129.44444444444446,202.35263793247304,80.0,38.71239302679896,P5->P12->P11->P20->P15->P13->P16->P6->P8->P18->P3->P1->P7->P9->P19->P2->P10->P14->P17->P4
corridor,10,AStarOnly,20,159.0,365.0,145.62500000000003,151.64361091620353,60.0,19.903127977158874,P20->P8->P7->P5->P4->P17->P2->P18->P15->P12->P3->P16->P11->P10->P14->P19->P9->P1->P13->P6
corridor,10,Proposed-Balanced,20,292.0,586.6666666666667,234.79166666666674,225.756612766209,20.0,20.148346957284957,P4->P18->P15->P2->P9->P16->P12->P11->P10->P3->P19->P13->P20->P5->P8->P7->P17->P1->P6->P14
corridor,10,RH-Proposed-v2,20,219.0,464.99999999999994,153.95833333333331,161.20683579176173,40.0,453.1386779854074,P20->P4->P2->P18->P15->P12->P3->P13->P9->P5->P7->P8->P19->P16->P11->P10->P14->P1->P17->P6
corridor,10,Priority-Greedy,20,283.0,571.6666666666666,147.29166666666666,189.784879536414,60.0,20.268691005185246,P20->P4->P12->P18->P15->P16->P3->P13->P5->P7->P8->P2->P9->P10->P11->P19->P14->P1->P17->P6
corridor,10,TSP-2opt,20,147.0,345.00000000000006,163.75000000000003,167.41648629611882,60.0,30.383277975488454,P20->P8->P7->P5->P13->P1->P9->P19->P3->P16->P11->P10->P14->P12->P15->P18->P2->P4->P17->P6
corridor,10,DRF-RH-Full,20,213.0,455.0,147.70833333333334,172.2615887857037,60.0,64.35234704986215,P20->P4->P18->P15->P12->P3->P2->P13->P7->P5->P8->P19->P16->P11->P10->P14->P9->P1->P17->P6
corridor,10,DRF-RH-Light,20,201.0,435.00000000000006,137.29166666666666,161.24319566188774,40.0,40.3882089885883,P20->P4->P2->P18->P15->P12->P3->P16->P11->P10->P14->P7->P5->P8->P13->P9->P1->P19->P17->P6
corridor,11,AStarOnly,20,177.0,395.0000000000001,185.6666666666667,157.4038349438657,20.0,21.44931600196287,P5->P19->P17->P2->P15->P16->P13->P4->P18->P14->P20->P7->P11->P1->P10->P9->P12->P3->P6->P8
corridor,11,Proposed-Balanced,20,274.0,556.6666666666666,235.0,244.41087071074188,40.0,21.226838987786323,P16->P6->P13->P14->P4->P18->P11->P12->P9->P1->P10->P7->P15->P17->P2->P5->P8->P19->P20->P3
corridor,11,RH-Proposed-v2,20,229.0,481.66666666666674,123.33333333333333,192.80072803138054,60.0,477.5185220059939,P2->P13->P14->P16->P6->P15->P17->P8->P5->P7->P9->P12->P3->P11->P10->P1->P4->P18->P20->P19
corridor,11,Priority-Greedy,20,323.0,638.3333333333333,155.33333333333331,242.60831563724142,60.0,21.642726962454617,P14->P13->P2->P6->P16->P17->P8->P5->P15->P12->P9->P10->P18->P4->P7->P11->P3->P1->P20->P19
corridor,11,TSP-2opt,20,163.0,371.6666666666667,212.33333333333334,192.46642027733589,40.0,32.187610981054604,P5->P13->P16->P20->P14->P18->P4->P7->P11->P1->P10->P9->P3->P12->P6->P15->P2->P17->P19->P8
corridor,11,DRF-RH-Full,20,202.0,436.66666666666674,120.66666666666667,173.50386696813123,60.0,67.9455809877254,P2->P13->P16->P14->P18->P6->P15->P17->P8->P19->P5->P7->P12->P3->P9->P11->P1->P10->P4->P20
corridor,11,DRF-RH-Light,20,204.0,440.00000000000006,122.33333333333334,174.2584147901746,60.0,42.336511018220335,P2->P13->P16->P14->P18->P6->P15->P17->P8->P19->P5->P7->P9->P12->P3->P11->P1->P10->P4->P20
corridor,12,AStarOnly,20,172.0,386.66666666666663,197.22222222222226,178.87380869020222,0.0,20.14782599871978,P13->P7->P18->P12->P6->P5->P9->P8->P4->P2->P10->P14->P15->P3->P16->P19->P20->P1->P11->P17
corridor,12,Proposed-Balanced,20,266.0,543.3333333333333,142.22222222222226,192.97633145590882,20.0,20.753633987624198,P13->P7->P5->P4->P8->P9->P14->P10->P3->P15->P19->P20->P2->P11->P1->P12->P18->P6->P17->P16
corridor,12,RH-Proposed-v2,20,240.0,500.00000000000006,108.8888888888889,190.89763890668686,60.0,450.1468220259994,P11->P14->P15->P3->P8->P4->P9->P12->P6->P2->P10->P5->P1->P13->P7->P18->P17->P20->P19->P16
corridor,12,Priority-Greedy,20,328.0,646.6666666666667,110.00000000000001,226.08556608836244,60.0,20.63083997927606,P3->P15->P14->P4->P8->P11->P7->P12->P2->P9->P13->P18->P6->P5->P10->P19->P20->P1->P17->P16
corridor,12,TSP-2opt,20,152.0,353.3333333333333,202.77777777777774,182.55692486468485,0.0,27.507452992722392,P18->P7->P13->P12->P6->P4->P8->P2->P10->P19->P16->P3->P20->P15->P14->P5->P9->P1->P11->P17
corridor,12,DRF-RH-Full,20,270.0,550.0000000000001,108.8888888888889,196.9652492115187,60.0,66.79334602085873,P11->P14->P15->P3->P8->P4->P9->P12->P6->P7->P13->P2->P5->P1->P18->P17->P10->P20->P19->P16
