experiment,comparison,metric,method_a,method_b,n,mean_a,mean_b,mean_diff,std_diff,t_stat,p_value,conclusion
ablation,A-RH-PADS-Full vs A-RH-PADS-NoAbnormalPressure,total_inspection_time,A-RH-PADS-Full,A-RH-PADS-NoAbnormalPressure,30,468.1111111111111,447.8333333333332,20.277777777777786,35.10543324283729,3.1637827193692294,0.0036394346073285637,significant
ablation,A-RH-PADS-Full vs A-RH-PADS-NoAbnormalPressure,high_priority_avg_response_time,A-RH-PADS-Full,A-RH-PADS-NoAbnormalPressure,30,138.7098344556678,138.38785072951742,0.3219837261503926,28.95460592772219,0.060908357862776076,0.9518500244360236,not_significant
ablation,A-RH-PADS-Full vs A-RH-PADS-NoAbnormalPressure,priority_weighted_completion_time,A-RH-PADS-Full,A-RH-PADS-NoAbnormalPressure,30,187.53739805994425,181.4492553602444,6.0881426996997705,13.361746498968282,2.495641636513194,0.018510747830696835,significant
ablation,A-RH-PADS-Full vs A-RH-PADS-NoAbnormalPressure,abnormal_avg_response_time,A-RH-PADS-Full,A-RH-PADS-NoAbnormalPressure,30,118.41666666666666,123.47222222222223,-5.055555555555553,21.426814910067563,-1.2923254483321653,0.20644763232793034,not_significant
ablation,A-RH-PADS-Full vs A-RH-PADS-NoAbnormalPressure,abnormal_priority_rate,A-RH-PADS-Full,A-RH-PADS-NoAbnormalPressure,30,54.166666666666664,52.5,1.6666666666666667,14.582307024641866,0.6260126930757011,0.5362030951500086,not_significant
ablation,A-RH-PADS-Full vs A-RH-PADS-NoAbnormalPressure,vehicle_trajectory_length,A-RH-PADS-Full,A-RH-PADS-NoAbnormalPressure,0,,,,,,,skipped
ablation,A-RH-PADS-Full vs A-RH-PADS-NoAbnormalPressure,vehicle_execution_time,A-RH-PADS-Full,A-RH-PADS-NoAbnormalPressure,0,,,,,,,skipped
ablation,A-RH-PADS-Full vs A-RH-PADS-NoPathPressure,total_path_length,A-RH-PADS-Full,A-RH-PADS-NoPathPressure,30,221.06666666666666,221.9,-0.8333333333333334,12.733565021663003,-0.35845064898253287,0.7226023989336321,not_significant
ablation,A-RH-PADS-Full vs A-RH-PADS-NoPathPressure,total_inspection_time,A-RH-PADS-Full,A-RH-PADS-NoPathPressure,30,468.1111111111111,469.5,-1.3888888888888895,21.222608369438365,-0.3584506489825327,0.7226023989336321,not_significant
ablation,A-RH-PADS-Full vs A-RH-PADS-NoPathPressure,high_priority_avg_response_time,A-RH-PADS-Full,A-RH-PADS-NoPathPressure,30,138.7098344556678,136.9794051627385,1.7304292929292955,10.141255237840491,0.934593534702235,0.357715212831311,not_significant
