seed,method,completed_task_num,total_planned_path_length,vehicle_trajectory_length,vehicle_execution_time,total_inspection_time,high_priority_avg_response_time,abnormal_avg_response_time,abnormal_priority_rate,heading_change_sum,goal_success_rate,trajectory_to_plan_ratio,failed_task_num,unreachable_task_num,follower_failed_num,adapter_failed_num,task_sequence
6,RH-v2-Light,20,266.0,245.65490666841018,480.4,580.4,154.46000000000004,0.0,0.0,168.29635837450164,100.0,0.9235146867233466,0,0,0,0,P10->P5->P2->P18->P13->P20->P12->P16->P9->P4->P17->P3->P8->P11->P6->P15->P19->P14->P7->P1
6,TSP-2opt,20,165.0,149.39750257492037,304.1,404.1,194.44,0.0,0.0,121.50811471337852,100.0,0.9054394095449719,0,0,0,0,P17->P19->P10->P15->P5->P2->P6->P3->P1->P8->P11->P18->P13->P20->P4->P12->P16->P14->P9->P7
6,Priority-Greedy,20,294.0,272.1011605876319,533.7,633.7,177.72000000000003,0.0,0.0,187.5115969810223,100.0,0.925514151658612,0,0,0,0,P5->P10->P18->P20->P12->P16->P13->P17->P2->P3->P8->P11->P15->P19->P4->P9->P14->P7->P1->P6
7,AStarOnly,20,180.0,163.04581628997033,328.6,428.6,148.175,0.0,0.0,136.4216447960959,100.0,0.9058100904998352,0,0,0,0,P12->P5->P10->P4->P15->P3->P8->P17->P18->P1->P6->P20->P19->P11->P14->P16->P2->P7->P13->P9
7,Proposed-Balanced,20,204.0,184.17780848628865,373.8,473.80000000000007,102.975,0.0,0.0,155.590534205854,100.0,0.9028323945406307,0,0,0,0,P12->P3->P15->P13->P7->P16->P14->P11->P20->P6->P4->P10->P5->P1->P18->P17->P8->P2->P19->P9
7,RH-v2-Light,20,233.0,209.79715976876426,415.0,515.0,87.425,0.0,0.0,152.0407058014551,100.0,0.9004169947157264,0,0,0,0,P12->P3->P15->P13->P7->P11->P20->P6->P5->P10->P4->P16->P14->P9->P19->P18->P1->P17->P8->P2
7,TSP-2opt,20,182.0,164.19785839618436,332.70000000000005,432.70000000000005,148.175,0.0,0.0,146.02897515925116,100.0,0.9021860351438701,0,0,0,0,P12->P5->P10->P4->P15->P3->P8->P17->P18->P1->P6->P20->P19->P11->P14->P16->P2->P13->P7->P9
7,Priority-Greedy,20,286.0,262.4533640372779,518.7,618.7000000000002,89.12500000000003,0.0,0.0,193.7443526695974,100.0,0.9176691050254472,0,0,0,0,P12->P20->P11->P13->P15->P3->P6->P4->P16->P14->P9->P5->P10->P1->P18->P17->P8->P2->P7->P19
8,AStarOnly,20,181.0,159.80848281022077,316.30000000000007,416.30000000000007,55.900000000000006,0.0,0.0,112.72779983874561,100.0,0.8829197945316064,0,0,0,0,P6->P4->P5->P15->P19->P3->P13->P20->P16->P2->P9->P14->P7->P10->P12->P1->P17->P18->P8->P11
8,Proposed-Balanced,20,224.0,201.90615208682686,399.0,499.00000000000006,228.80000000000007,0.0,0.0,148.964562777655,100.0,0.9013667503876199,0,0,0,0,P8->P18->P17->P10->P12->P7->P14->P20->P19->P11->P4->P6->P15->P5->P13->P3->P2->P16->P9->P1
