experiment,comparison,metric,method_a,method_b,n,mean_a,mean_b,mean_diff,std_diff,t_stat,p_value,conclusion
ablation,DRF-RH-Full vs DRF-RH-NoTopKBonus,abnormal_priority_rate,DRF-RH-Full,DRF-RH-NoTopKBonus,0,,,,,,,skipped
ablation,DRF-RH-Full vs DRF-RH-NoPathTimePenalty,total_path_length,DRF-RH-Full,DRF-RH-NoPathTimePenalty,30,222.26666666666668,274.1333333333333,-51.86666666666667,23.330804460661216,-12.1764096749579,6.350795519712516e-13,significant
ablation,DRF-RH-Full vs DRF-RH-NoPathTimePenalty,total_inspection_time,DRF-RH-Full,DRF-RH-NoPathTimePenalty,30,470.11111111111114,556.5555555555554,-86.44444444444443,38.884674101102014,-12.176409674957902,6.350795519712492e-13,significant
ablation,DRF-RH-Full vs DRF-RH-NoPathTimePenalty,high_priority_avg_response_time,DRF-RH-Full,DRF-RH-NoPathTimePenalty,30,121.12737093153763,111.52248877665548,9.604882154882155,27.646125812446133,1.9029106118150547,0.06702261155871356,not_significant
ablation,DRF-RH-Full vs DRF-RH-NoPathTimePenalty,priority_weighted_completion_time,DRF-RH-Full,DRF-RH-NoPathTimePenalty,30,184.20175785739517,198.99897904891478,-14.797221191519627,15.385157005049534,-5.267916234022649,1.2046796496671769e-05,significant
ablation,DRF-RH-Full vs DRF-RH-NoPathTimePenalty,high_priority_top5_rate,DRF-RH-Full,DRF-RH-NoPathTimePenalty,30,59.333333333333336,63.333333333333336,-4.0,13.287276776598395,-1.6488632447841147,0.10996852212800931,not_significant
ablation,DRF-RH-Full vs DRF-RH-NoPathTimePenalty,abnormal_avg_response_time,DRF-RH-Full,DRF-RH-NoPathTimePenalty,0,,,,,,,skipped
ablation,DRF-RH-Full vs DRF-RH-NoPathTimePenalty,abnormal_priority_rate,DRF-RH-Full,DRF-RH-NoPathTimePenalty,0,,,,,,,skipped
ablation,DRF-RH-Full vs DRF-RH-NoHybridPool,total_path_length,DRF-RH-Full,DRF-RH-NoHybridPool,30,222.26666666666668,222.93333333333334,-0.6666666666666666,11.99233471656053,-0.30448480658721744,0.7629329246828369,not_significant
ablation,DRF-RH-Full vs DRF-RH-NoHybridPool,total_inspection_time,DRF-RH-Full,DRF-RH-NoHybridPool,30,470.11111111111114,471.22222222222223,-1.1111111111111067,19.987224527600894,-0.30448480658721616,0.7629329246828379,not_significant
ablation,DRF-RH-Full vs DRF-RH-NoHybridPool,high_priority_avg_response_time,DRF-RH-Full,DRF-RH-NoHybridPool,30,121.12737093153763,123.13632154882157,-2.008950617283951,8.073099861014246,-1.3629802541078788,0.18337892636147884,not_significant
ablation,DRF-RH-Full vs DRF-RH-NoHybridPool,priority_weighted_completion_time,DRF-RH-Full,DRF-RH-NoHybridPool,30,184.20175785739517,184.79650722582343,-0.5947493684282231,4.96424421323829,-0.6562079365100162,0.5168636393860253,not_significant
