seed,method,completed_task_num,total_path_length,total_inspection_time,high_priority_avg_response_time,priority_weighted_completion_time,high_priority_top5_rate,abnormal_priority_rate,abnormal_avg_response_time,replanning_count,lambda_before_abnormal,lambda_after_abnormal,lambda_change,lambda_mean,lambda_min,lambda_max,lambda_std,algorithm_runtime_ms,task_sequence
23,A-RH-PADS-NoUrgencyPressure,20,225.0,475.00000000000006,151.04166666666666,173.40853436617408,60.0,75.0,87.50000000000001,1,0.4577700068870602,0.673654185650047,0.21588417876298677,0.5764253620680443,0.40686817259209807,0.673654185650047,0.10843761868125243,86.27363695995882,P15->P12->P13->P14->P1->P19->P9->P5->P10->P4->P20->P18->P6->P11->P8->P17->P3->P2->P7->P16
23,A-RH-PADS-NoAbnormalPressure,20,238.0,496.66666666666674,159.58333333333334,177.4569533008488,60.0,75.0,88.75000000000001,1,0.6611209559929939,0.6785265066862608,0.01740555069326688,0.609800566307909,0.52936862456997,0.6785265066862608,0.04409793865076617,70.75951795559376,P15->P12->P13->P14->P1->P19->P9->P5->P10->P4->P20->P18->P6->P11->P2->P3->P17->P8->P16->P7
23,A-RH-PADS-NoPathPressure,20,241.0,501.6666666666667,164.58333333333334,186.37622967316778,60.0,75.0,78.75,1,0.7125185101888636,0.8168625657228751,0.10434405553401149,0.7314800969204536,0.5913046686433783,0.8168625657228751,0.08384518543544459,69.8971000383608,P15->P12->P13->P14->P1->P19->P9->P5->P10->P4->P20->P8->P17->P2->P3->P11->P6->P18->P7->P16
23,A-RH-PADS-ResponseOnly,20,251.0,518.3333333333334,158.54166666666669,183.6000875753508,60.0,75.0,78.75,1,0.85,0.85,0.0,0.85,0.85,0.85,0.0,69.48902900330722,P15->P12->P13->P14->P1->P19->P9->P5->P10->P4->P20->P8->P17->P11->P18->P6->P7->P2->P3->P16
23,A-RH-PADS-CostOnly,20,216.0,460.0,199.79166666666669,187.0447891342526,60.0,25.0,90.41666666666667,1,0.25,0.25,0.0,0.25,0.25,0.25,0.0,70.9068609867245,P15->P11->P12->P13->P9->P5->P10->P14->P1->P19->P6->P18->P2->P3->P17->P8->P4->P16->P20->P7
23,A-RH-PADS-NoFinishTimeResponse,20,285.0,575.0,207.29166666666669,254.0301804082531,80.0,75.0,111.25,1,0.6448845316453793,0.7996391747595332,0.15475464311415388,0.6347273063082772,0.4732250289552291,0.7996391747595332,0.11806467463184848,74.45748901227489,P12->P13->P1->P19->P15->P4->P10->P5->P8->P17->P11->P6->P18->P14->P9->P20->P16->P7->P2->P3
24,A-RH-PADS-Full,20,220.0,466.6666666666667,146.81818181818184,183.04543049116538,100.0,75.0,67.91666666666669,1,0.6351161265678927,0.8075318892186208,0.1724157626507281,0.6591467800387337,0.5364255908683455,0.8075318892186208,0.1050525344000409,69.3615329801105,P6->P14->P10->P2->P8->P19->P11->P17->P15->P9->P16->P4->P13->P1->P18->P5->P7->P3->P20->P12
24,A-RH-PADS-FixedLambda,20,206.0,443.3333333333333,155.30303030303028,177.5280467669203,80.0,25.0,90.0,1,0.55,0.55,0.0,0.55,0.55,0.55,0.0,67.74946500081569,P6->P14->P10->P2->P17->P9->P11->P8->P19->P7->P4->P16->P13->P1->P18->P5->P3->P15->P20->P12
24,A-RH-PADS-NoUrgencyPressure,20,185.0,408.33333333333337,170.15151515151513,168.30961925968927,60.0,100.0,52.083333333333336,1,0.43920825724999824,0.6482629137656684,0.20905465651567012,0.48136359702265563,0.4116694687061668,0.688635148786646,0.09736233557814468,68.53041803697124,P12->P6->P14->P16->P2->P8->P19->P10->P9->P11->P3->P17->P4->P7->P5->P18->P1->P13->P15->P20
24,A-RH-PADS-NoAbnormalPressure,20,217.0,461.6666666666667,153.18181818181822,173.37584676080033,100.0,75.0,75.41666666666669,1,0.6351161265678927,0.6973013596916406,0.06218523312374791,0.594575355443874,0.49281738803202085,0.6973013596916406,0.05672750119567363,76.22610201360658,P6->P14->P10->P2->P8->P19->P11->P9->P3->P17->P15->P12->P16->P4->P7->P5->P18->P1->P13->P20
