map_width,map_height,obstacle_ratio,task_num,method,completed_task_num_mean,completed_task_num_std,total_path_length_mean,total_path_length_std,total_inspection_time_mean,total_inspection_time_std,high_priority_avg_response_time_mean,high_priority_avg_response_time_std,priority_weighted_completion_time_mean,priority_weighted_completion_time_std,high_priority_top5_rate_mean,high_priority_top5_rate_std,algorithm_runtime_ms_mean,algorithm_runtime_ms_std
30,30,0.3,10,Proposed-Balanced,9.15,2.2307657406087453,154.2,44.913484084755424,302.75,84.27238453563325,83.72222222222223,63.456738293327135,131.8782031786346,39.94324178796644,27.0,21.788456625132106,11.389917798805982,4.7688788054885025
30,30,0.3,10,RH-Proposed-v2,9.15,2.2307657406087453,142.05,41.45698468228687,282.5,78.80782013620149,84.05555555555556,61.45656942326145,121.10076447870586,35.123945007509484,27.0,20.799797569865156,173.47033194964752,77.06481403514313
30,30,0.1,20,AStarOnly,20.0,0.0,161.3,18.38506258667045,368.83333333333337,30.641770977784084,172.00383597883598,44.663934873070126,173.7464880719279,20.408087783921854,28.0,21.908902300206645,38.570746502955444,4.695797052595203
30,30,0.1,20,NNF,20.0,0.0,157.1,17.74052749467934,361.8333333333333,29.567545824465558,161.7614417989418,31.277678371285997,171.9340993084381,22.50829157841458,31.0,21.980852911951395,38.40920240036212,4.732084932018068
30,30,0.1,20,Proposed-Balanced,20.0,0.0,224.8,33.38073822147327,474.6666666666667,55.63456370245549,159.38343253968256,36.67147054135485,201.09221055309706,22.9811733029637,47.0,18.66604008973459,40.034307551104575,4.911631866544949
30,30,0.1,20,RH-Proposed-v2,20.0,0.0,216.45,21.392263727067807,460.75,35.65377287844634,115.84176587301587,27.578625825326363,179.06194437993608,17.263696366711216,55.0,18.209309360006518,798.0494116054615,132.50309895577863
30,30,0.2,20,AStarOnly,19.9,0.30779350562554625,169.15,23.97207805585051,381.4166666666667,40.9295322253643,209.05092592592592,87.40648253487792,186.1663734056946,22.685508266529283,24.0,26.437612759495753,34.30959319812246,5.713432850096187
30,30,0.2,20,NNF,19.9,0.30779350562554625,168.2,21.274150363391968,379.83333333333337,36.42223149902297,184.8199074074074,62.24380742417618,180.7197516062753,18.987636985941258,24.0,23.929721664644752,34.42682559543755,5.834537283810637
30,30,0.2,20,Proposed-Balanced,19.9,0.30779350562554625,236.5,25.45481031987967,493.6666666666667,43.24079187377752,168.7277777777778,56.60526902578489,213.22254280791685,26.266864155495465,46.0,27.606254058779772,35.787070795777254,5.645792107182112
30,30,0.2,20,RH-Proposed-v2,19.9,0.30779350562554625,219.2,22.063544592834578,464.83333333333337,37.47084636734778,133.51944444444445,45.62401440451472,186.20181613902696,19.59430986873579,48.0,28.580449703655084,708.9516712498153,115.21411657396214
30,30,0.3,20,AStarOnly,18.3,4.449719092257398,180.05,47.54662531607652,391.5833333333333,99.5464495300314,164.42936507936508,69.42837593785544,178.82063624690107,48.6721221385176,31.0,26.337885460422136,40.44790219923016,17.672717486269107
30,30,0.3,20,NNF,18.3,4.449719092257398,178.5,47.22789095662145,389.0,98.52182350932377,173.59920634920636,70.31958918489147,182.64309905245574,51.239507607303814,25.0,22.360679774997898,39.57105820591096,16.98970481848398
30,30,0.3,20,Proposed-Balanced,18.3,4.449719092257398,251.05,72.66612546072402,509.9166666666667,140.26653304476326,158.4938492063492,66.25079843702301,216.17027511680317,61.73165775718594,39.0,24.68752081944492,41.4863517973572,17.53742060811674
30,30,0.3,20,RH-Proposed-v2,18.3,4.449719092257398,234.9,59.44382576056685,483.00000000000006,119.8885935099798,113.35257936507936,51.53351172405427,182.13293349437208,50.46155956297104,49.0,27.89076436460832,848.4908705024282,344.1585238423555
30,30,0.1,40,AStarOnly,40.0,0.0,227.15,15.782318554235573,578.5833333333334,26.303864257059306,284.85486966736966,40.003073614456596,270.77391676780775,23.231931271730243,14.0,14.65390194130093,143.49948100862093,13.587098015500377
30,30,0.1,40,NNF,40.0,0.0,221.45,16.61791994077161,569.0833333333334,27.696533234619356,274.63714387464387,42.531223589658254,267.7170183646335,21.13960653533932,17.0,14.903196407411892,143.40914369095117,13.556530598899212
30,30,0.1,40,Proposed-Balanced,40.0,0.0,389.95,35.80866551989601,849.9166666666667,59.68110919982667,258.9082093832094,50.004986544812624,343.40302703993984,25.78807855491306,43.0,23.642067769572368,149.50454449572135,13.488565099701441
30,30,0.1,40,RH-Proposed-v2,40.0,0.0,360.1,22.545626253397682,800.1666666666666,37.57604375566283,178.80404502904503,28.39850321606896,295.8299602061771,14.67304570612471,73.0,24.516374764204993,3379.677143896697,356.34819945405707
30,30,0.2,40,AStarOnly,39.85,0.4893604849295929,235.75,26.130995912295823,592.1666666666666,44.261648944108046,268.41039585414586,65.22159046681591,274.48563836385,21.797961955763597,25.0,23.283154063783854,131.10688645101618,20.757530717688994
30,30,0.2,40,NNF,39.85,0.4893604849295929,238.55,24.974671379746237,596.8333333333334,42.546500189352486,286.6614371739372,68.1698132916928,279.0175037047147,21.976497616725634,24.0,19.029063643750177,129.90793745266274,20.887310013502578
30,30,0.2,40,Proposed-Balanced,39.85,0.4893604849295929,425.7,40.948105797717346,908.75,69.31763275333566,284.27970779220783,54.797456812784965,361.9053612482763,27.26685996444832,45.0,25.0263019536184,135.02038640435785,20.118004821513594
30,30,0.2,40,RH-Proposed-v2,39.85,0.4893604849295929,379.0,32.25882172286161,830.9166666666666,55.48951484118373,183.62512556887557,47.320988110340906,297.65888430800584,26.075047598711407,67.0,28.48822471422923,3043.287767941365,370.508986833647
30,30,0.3,40,AStarOnly,36.55,8.762810171700808,266.3,68.36288620681778,626.5833333333334,154.932049810488,296.0136483886484,86.01988308301866,285.97412713431333,72.19544114807074,24.0,16.670175069329815,157.7057346526999,57.421359289074346
30,30,0.3,40,NNF,36.55,8.762810171700808,259.3,67.9164347213777,614.9166666666666,153.80217699734553,294.95253126503127,87.29687579825713,285.57106613236607,71.55009447851992,29.0,17.74082416646034,158.29170484212227,56.32454400853973
30,30,0.3,40,Proposed-Balanced,36.55,8.762810171700808,455.7,118.67873484859517,942.25,237.7122166680046,275.65719095719095,98.95739932166913,368.6899878374368,95.41550970463791,52.0,29.30780388260186,163.7372868572129,57.77809672387238
30,30,0.3,40,RH-Proposed-v2,36.55,8.762810171700808,394.4,97.46005929556341,840.0833333333334,204.56091544734292,183.263462000962,62.88972570817115,301.3273541417906,76.49408036156608,61.0,27.125439603519986,3690.854141052114,1295.6928315777864
50,50,0.1,10,AStarOnly,10.0,0.0,175.2,26.976793145610408,342.0,44.96132190935067,167.86805555555557,93.10230861605622,169.43799847906632,27.27759225465052,20.0,17.167901505579042,26.158322097035125,3.9531397312286742
50,50,0.1,10,NNF,10.0,0.0,173.75,29.102134123227387,339.58333333333337,48.50355687204565,165.45833333333334,87.44650620447007,164.80337675090982,24.010158819926964,21.0,18.890264827766654,26.28852115594782,3.778034952347825
50,50,0.1,10,Proposed-Balanced,10.0,0.0,214.6,33.72707798599939,407.6666666666667,56.21179664333233,142.52777777777777,70.632463724366,188.0890119045199,29.189080265120257,31.0,18.890264827766654,27.09610780584626,4.00912723414299
50,50,0.1,10,RH-Proposed-v2,10.0,0.0,200.45,25.984762741592277,384.08333333333337,43.3079379026538,123.46527777777779,73.58704609114571,166.18124425142366,32.099799401260285,34.0,20.62190965683675,364.72075759375,60.55785927440227
50,50,0.2,10,AStarOnly,9.95,0.22360679774997896,184.4,28.229137615703312,357.08333333333337,47.48306869680494,156.85555555555555,85.22585214560263,184.04015874806268,33.29600009297412,26.0,18.467610337532772,20.681845053331926,5.51364290223442
50,50,0.2,10,NNF,9.95,0.22360679774997896,184.35,27.292325892667684,357.0,45.93600939420324,163.675,93.48128810861425,183.4313224382679,34.91964550206188,26.0,18.467610337532772,20.66168320889119,5.526043568838258
50,50,0.2,10,Proposed-Balanced,9.95,0.22360679774997896,222.2,38.36747526088649,420.08333333333337,64.40114370057042,169.7638888888889,105.0677507758038,209.05906044303308,41.37649780324903,32.0,22.849622823099175,21.08802974689752,5.458886409564515
50,50,0.2,10,RH-Proposed-v2,9.95,0.22360679774997896,203.45,38.338485542392135,388.83333333333337,64.40256251485286,135.7902777777778,74.95195909670005,181.6879115844495,32.86165260193037,34.0,23.485717944495992,295.3865191579098,99.71138108028285
