seed,method,completed_task_num,total_path_length,total_inspection_time,high_priority_avg_response_time,priority_weighted_completion_time,high_priority_top5_rate,abnormal_task_ids,abnormal_priority_rate,abnormal_avg_response_time,replanning_count,algorithm_runtime_ms,task_sequence
10,DRF-RH-Light,19,197.0,423.3333333333333,109.33333333333333,168.8276087128784,60.0,"P13,P1,P10,P4",50.0,97.91666666666664,1,77.62065599672496,P8->P7->P11->P4->P14->P2->P1->P20->P16->P19->P13->P5->P10->P9->P17->P18->P3->P12->P15
10,Priority-Greedy,19,263.0,533.3333333333335,135.33333333333334,194.61128644713796,80.0,"P13,P1,P10,P4",25.0,128.75000000000003,1,51.47186602698639,P7->P8->P11->P4->P2->P20->P16->P13->P10->P5->P19->P1->P14->P3->P18->P12->P9->P17->P15
10,Deadline-Greedy,19,242.0,498.33333333333337,115.66666666666667,179.3053614155455,60.0,"P13,P1,P10,P4",25.0,154.16666666666669,1,52.62198898708448,P7->P8->P11->P4->P16->P20->P2->P19->P13->P10->P5->P9->P17->P14->P1->P15->P3->P18->P12
11,AStarOnly,20,142.0,336.66666666666663,98.0,157.68439698677588,60.0,"P8,P7,P10,P2",25.0,69.58333333333331,0,30.357131035998464,P14->P3->P20->P13->P5->P2->P18->P8->P10->P7->P15->P4->P1->P9->P6->P16->P19->P11->P17->P12
11,Proposed-Balanced,20,245.0,508.3333333333333,77.0,201.29450162518216,80.0,"P9,P8,P11,P4",75.0,123.33333333333334,1,30.91074898838997,P3->P13->P2->P20->P8->P4->P9->P6->P7->P10->P15->P19->P11->P18->P5->P17->P12->P16->P1->P14
11,RH-v2-Full,20,207.0,444.99999999999994,70.33333333333334,163.02771616562055,80.0,"P8,P7,P10,P2",100.0,44.166666666666664,1,602.2241599857807,P3->P20->P13->P2->P8->P10->P7->P4->P15->P9->P6->P19->P11->P18->P17->P12->P5->P14->P1->P16
11,RH-v2-Light,20,213.0,454.99999999999994,70.33333333333334,165.71815191276858,80.0,"P8,P7,P10,P2",100.0,44.166666666666664,1,278.79532100632787,P3->P20->P13->P2->P8->P10->P7->P4->P15->P9->P6->P19->P18->P17->P12->P5->P11->P16->P1->P14
11,DRF-RH-Full,20,199.0,431.66666666666663,68.66666666666666,166.54825708192953,80.0,"P8,P7,P10,P2",75.0,57.49999999999999,1,87.59302401449531,P3->P20->P13->P2->P10->P7->P4->P15->P8->P18->P6->P9->P16->P19->P11->P17->P12->P5->P1->P14
11,DRF-RH-Light,20,203.0,438.3333333333333,76.66666666666666,163.72684655551478,80.0,"P9,P8,P11,P4",25.0,113.74999999999997,1,59.30565396556631,P3->P20->P2->P13->P18->P8->P10->P7->P4->P15->P9->P6->P19->P11->P17->P12->P5->P16->P1->P14
11,Priority-Greedy,20,259.0,531.6666666666666,86.0,196.17796690237853,80.0,"P8,P7,P10,P2",75.0,77.08333333333333,1,31.05719602899626,P3->P13->P20->P2->P10->P7->P6->P9->P4->P8->P18->P19->P17->P12->P5->P11->P15->P1->P14->P16
11,Deadline-Greedy,20,249.0,515.0,86.0,191.3676327272609,80.0,"P8,P7,P10,P2",75.0,77.08333333333333,1,30.802654975559562,P3->P13->P20->P2->P10->P7->P6->P9->P4->P8->P18->P17->P19->P16->P15->P1->P14->P5->P12->P11
12,AStarOnly,20,164.0,373.33333333333337,122.40740740740742,155.8081251560957,80.0,"P4,P20,P8,P11",25.0,158.75,0,27.54808298777789,P7->P19->P3->P16->P14->P8->P18->P17->P12->P15->P6->P10->P20->P4->P11->P13->P9->P5->P2->P1
12,Proposed-Balanced,20,220.0,466.66666666666674,180.55555555555557,197.54142926923697,60.0,"P4,P20,P8,P11",50.0,172.08333333333337,1,28.79147499334067,P19->P7->P3->P16->P20->P4->P18->P12->P17->P8->P1->P6->P10->P15->P14->P9->P2->P5->P11->P13
12,RH-v2-Full,20,204.0,440.00000000000006,125.92592592592592,160.76273760325054,80.0,"P3,P20,P6,P10",50.0,88.33333333333334,1,547.9664889862761,P7->P19->P16->P3->P18->P12->P6->P10->P20->P4->P13->P9->P5->P2->P14->P8->P1->P15->P17->P11
