seed,method,completed_task_num,total_path_length,total_inspection_time,high_priority_avg_response_time,priority_weighted_completion_time,high_priority_top5_rate,algorithm_runtime_ms,path_redundancy_ratio,priority_response_efficiency,task_sequence
3,Priority-Greedy,19,265.0,536.6666666666667,98.05555555555554,186.17475571000014,100.0,46.654106001369655,2.0384615384615383,0.37735849056603776,P9->P1->P16->P15->P2->P12->P13->P17->P5->P7->P14->P8->P3->P19->P18->P20->P6->P10->P4
3,Deadline-Greedy,19,217.0,456.6666666666667,104.44444444444444,176.8076014282117,80.0,46.54752096394077,1.6692307692307693,0.3686635944700461,P9->P1->P16->P15->P12->P2->P13->P17->P18->P19->P3->P8->P14->P7->P6->P10->P4->P5->P20
3,TSP-2opt,19,124.0,301.66666666666663,211.38888888888889,189.92426340093462,0.0,59.574622951913625,0.9538461538461539,0.0,P10->P4->P12->P19->P18->P17->P13->P5->P20->P2->P15->P8->P3->P9->P16->P14->P1->P7->P6
3,DRF-RH-Full,19,193.0,416.6666666666667,107.77777777777779,164.56675898479855,80.0,91.02336998330429,1.4846153846153847,0.41450777202072536,P9->P16->P1->P14->P15->P12->P17->P13->P18->P2->P20->P5->P19->P3->P8->P7->P6->P10->P4
3,DRF-RH-Light,19,193.0,416.6666666666667,110.83333333333333,159.12049135367081,80.0,72.22519599599764,1.4846153846153847,0.41450777202072536,P9->P16->P1->P14->P15->P8->P12->P18->P17->P13->P2->P20->P5->P19->P3->P7->P6->P10->P4
4,NNF,20,176.0,393.3333333333333,250.00000000000003,187.59529805887624,0.0,33.524720987770706,0.9777777777777777,0.0,P10->P20->P9->P2->P13->P15->P18->P11->P17->P19->P16->P6->P5->P3->P8->P4->P1->P7->P12->P14
4,AStarOnly,20,180.0,400.00000000000006,216.6666666666667,199.48933476951882,0.0,34.01986398966983,1.0,0.0,P20->P10->P9->P2->P13->P15->P18->P19->P16->P6->P5->P3->P8->P12->P7->P1->P4->P11->P17->P14
4,Proposed-Balanced,20,253.0,521.6666666666667,261.6666666666667,244.4333538962034,0.0,35.21916997851804,1.4055555555555554,0.0,P20->P11->P9->P17->P1->P12->P7->P5->P3->P6->P16->P8->P14->P19->P18->P15->P13->P2->P10->P4
4,RH-Proposed-v2,20,206.0,443.33333333333337,123.33333333333331,203.07928145320986,0.0,714.9478860083036,1.1444444444444444,0.0,P20->P10->P9->P11->P17->P3->P16->P6->P5->P8->P12->P7->P1->P4->P15->P13->P2->P18->P19->P14
4,Priority-Greedy,20,342.0,670.0,106.66666666666669,250.0684481998298,20.0,35.46439594356343,1.9,0.05847953216374269,P20->P11->P17->P3->P12->P9->P1->P7->P5->P16->P19->P6->P8->P15->P18->P13->P10->P4->P2->P14
4,Deadline-Greedy,20,326.0,643.3333333333333,141.66666666666669,227.64259299281224,20.0,35.039373964536935,1.8111111111111111,0.06134969325153374,P20->P11->P17->P9->P3->P12->P1->P7->P5->P6->P16->P19->P15->P13->P18->P10->P8->P4->P2->P14
4,TSP-2opt,20,174.0,390.0,246.6666666666667,183.89619833538688,0.0,35.73450504336506,0.9666666666666667,0.0,P20->P10->P9->P2->P13->P15->P18->P11->P17->P19->P16->P6->P5->P3->P8->P4->P1->P7->P12->P14
4,DRF-RH-Full,20,223.0,471.6666666666667,118.33333333333334,204.41485658647827,20.0,86.73014695523307,1.238888888888889,0.08968609865470852,P20->P9->P11->P17->P3->P16->P6->P5->P8->P12->P7->P1->P10->P15->P13->P2->P18->P19->P14->P4
4,DRF-RH-Light,20,254.0,523.3333333333334,85.0,217.27605374932597,20.0,64.47774003027007,1.4111111111111112,0.07874015748031496,P20->P9->P3->P5->P6->P16->P19->P11->P17->P1->P7->P12->P8->P15->P13->P2->P10->P4->P14->P18
5,NNF,20,188.0,413.3333333333334,219.72222222222226,222.81252117684366,40.0,34.35885498765856,0.9082125603864735,0.2127659574468085,P16->P13->P8->P1->P4->P7->P11->P17->P20->P19->P5->P9->P6->P10->P18->P3->P12->P15->P14->P2
5,AStarOnly,20,207.0,445.0000000000001,194.72222222222226,210.95418778831691,40.0,34.738140006083995,1.0,0.1932367149758454,P16->P13->P8->P1->P4->P7->P11->P17->P5->P9->P6->P10->P18->P3->P12->P15->P14->P2->P19->P20
5,Proposed-Balanced,20,295.0,591.6666666666666,150.55555555555557,233.55827993108772,60.0,35.69265396799892,1.4251207729468598,0.2033898305084746,P14->P6->P10->P9->P5->P19->P18->P1->P8->P7->P4->P17->P11->P16->P15->P2->P12->P3->P20->P13
5,RH-Proposed-v2,20,261.0,535.0,118.61111111111113,202.63012351350665,60.0,767.8345509921201,1.2608695652173914,0.22988505747126436,P14->P9->P6->P10->P19->P1->P4->P7->P8->P5->P18->P12->P15->P2->P16->P13->P17->P11->P20->P3
5,Priority-Greedy,20,353.0,688.3333333333334,149.16666666666666,252.92760936114203,60.0,34.95871101040393,1.7053140096618358,0.16997167138810199,P14->P6->P7->P4->P19->P9->P1->P8->P17->P16->P18->P10->P12->P15->P5->P11->P13->P2->P3->P20
5,Deadline-Greedy,20,315.0,625.0000000000001,123.05555555555556,231.1264133574202,80.0,35.26326298015192,1.5217391304347827,0.25396825396825395,P14->P6->P9->P7->P4->P19->P1->P8->P17->P16->P12->P18->P10->P5->P15->P2->P3->P13->P11->P20
5,TSP-2opt,20,174.0,390.0000000000001,241.3888888888889,224.84998945682776,20.0,38.616631005425006,0.8405797101449275,0.11494252873563218,P16->P13->P17->P11->P7->P8->P4->P1->P20->P19->P5->P9->P6->P10->P18->P3->P12->P15->P14->P2
5,DRF-RH-Full,20,255.0,525.0,111.11111111111113,197.62382083438467,80.0,91.07008995488286,1.2318840579710144,0.3137254901960784,P14->P9->P6->P19->P1->P4->P7->P8->P5->P10->P18->P12->P15->P2->P16->P13->P17->P11->P20->P3
5,DRF-RH-Light,20,255.0,525.0,111.11111111111113,197.62382083438467,80.0,66.60829798784107,1.2318840579710144,0.3137254901960784,P14->P9->P6->P19->P1->P4->P7->P8->P5->P10->P18->P12->P15->P2->P16->P13->P17->P11->P20->P3
6,NNF,20,165.0,374.99999999999994,179.66666666666666,196.86116533852208,40.0,37.46859199600294,1.0185185185185186,0.24242424242424243,P17->P19->P10->P15->P5->P2->P6->P3->P1->P8->P11->P18->P13->P20->P4->P12->P16->P14->P9->P7
6,AStarOnly,20,162.0,369.99999999999994,193.66666666666666,214.07655380590572,40.0,37.281002034433186,1.0,0.24691358024691357,P17->P19->P10->P15->P5->P2->P6->P3->P8->P1->P11->P7->P18->P13->P20->P4->P12->P16->P14->P9
6,Proposed-Balanced,20,224.0,473.3333333333334,159.66666666666669,165.8863466259528,40.0,35.50063696457073,1.382716049382716,0.17857142857142858,P10->P17->P5->P2->P20->P13->P18->P12->P4->P16->P14->P9->P7->P8->P3->P6->P11->P15->P19->P1
